Model,Dataset,Parameters (M),AP,AP_50,AP_S,AP_M,AP_L,Sec/img,FPS
YOLO8n,VisDrone2019,3.013,0.197,0.34,0.08,0.23,0.313,0.003,297.09
YOLO8s,VisDrone2019,11.139,0.239,0.395,0.104,0.284,0.349,0.003,344.98
YOLO8m,VisDrone2019,25.862,0.264,0.432,0.126,0.308,0.383,0.007,139.52
YOLO8l,VisDrone2019,43.638,0.28,0.452,0.135,0.327,0.405,0.011,87.48
YOLO9t,VisDrone2019,2.007,0.198,0.338,0.08,0.239,0.328,0.006,174.47
YOLO9s,VisDrone2019,7.291,0.238,0.4,0.105,0.287,0.351,0.003,353.62
YOLO9m,VisDrone2019,20.166,0.263,0.432,0.127,0.308,0.368,0.019,51.33
YOLO10n,VisDrone2019,2.711,0.193,0.333,0.079,0.227,0.29,0.004,260.32
YOLO10s,VisDrone2019,8.074,0.235,0.392,0.107,0.275,0.362,0.004,260.19
YOLO10m,VisDrone2019,16.496,0.258,0.422,0.121,0.302,0.373,0.003,378.66
YOLO10b,VisDrone2019,20.466,0.271,0.442,0.132,0.316,0.37,0.004,283.47
YOLO10l,VisDrone2019,25.781,0.275,0.445,0.135,0.32,0.403,0.003,291.42
YOLO11n,VisDrone2019,2.592,0.197,0.337,0.081,0.234,0.299,0.004,257.69
YOLO11s,VisDrone2019,9.432,0.233,0.388,0.105,0.273,0.358,0.002,455.7
YOLO11m,VisDrone2019,20.061,0.265,0.433,0.128,0.309,0.371,0.003,361.56
YOLO12n,VisDrone2019,2.57,0.191,0.329,0.079,0.226,0.315,0.002,517.75
YOLO12s,VisDrone2019,9.257,0.236,0.393,0.106,0.28,0.343,0.004,251.07
YOLO12m,VisDrone2019,20.145,0.265,0.436,0.129,0.307,0.394,0.009,115.56
YOLOS4An,VisDrone2019,0.798,0.161,0.287,0.072,0.18,0.211,0.002,484.53
YOLOS4As,VisDrone2019,2.371,0.228,0.386,0.112,0.253,0.299,0.003,304.36
YOLOS4Am,VisDrone2019,5.453,0.274,0.452,0.146,0.302,0.343,0.006,176.71
YOLOS4Al,VisDrone2019,11.696,0.301,0.489,0.165,0.332,0.352,0.008,125.78
YOLOS4Ax,VisDrone2019,29.417,0.321,0.517,0.183,0.352,0.335,0.021,48.55
