epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,454.32,3.7571,3.38834,2.07056,0.04929,0.07261,0.03715,0.01365,3.03661,2.6115,1.52586,0.0700324,0.00332973,0.00332973
2,868.469,2.73584,2.52909,1.48704,0.06918,0.11366,0.05926,0.02624,2.3797,2.15158,1.32286,0.0400323,0.00666288,0.00666288
3,1277.94,2.44966,2.26277,1.36767,0.21698,0.09717,0.07172,0.03329,2.1964,1.98419,1.26075,0.0100313,0.00999531,0.00999531
4,1684.96,2.27089,2.07265,1.30038,0.21836,0.07693,0.06128,0.0289,2.43847,2.01688,1.28925,0.00999756,0.00999756,0.00999756
5,2089.48,2.1412,1.93743,1.25054,0.16876,0.13208,0.09821,0.04851,1.98284,1.71521,1.16652,0.00999566,0.00999566,0.00999566
6,2490.24,2.05741,1.8258,1.21504,0.18135,0.13899,0.10619,0.05389,1.95786,1.65144,1.14896,0.00999322,0.00999322,0.00999322
7,2887.47,2.0022,1.7679,1.19847,0.17456,0.14087,0.10862,0.05473,1.95984,1.64595,1.1418,0.00999023,0.00999023,0.00999023
8,3287.54,1.95746,1.72152,1.17951,0.18961,0.14778,0.11522,0.05987,1.87404,1.58436,1.12624,0.00998671,0.00998671,0.00998671
9,3684.28,1.92063,1.67607,1.16894,0.20126,0.15248,0.12655,0.06607,1.84783,1.53141,1.11554,0.00998264,0.00998264,0.00998264
10,4080.97,1.88844,1.6323,1.15761,0.21033,0.15661,0.13329,0.07105,1.79636,1.52541,1.10439,0.00997803,0.00997803,0.00997803
11,4471.65,1.87079,1.60644,1.15043,0.20143,0.1603,0.13085,0.06854,1.82498,1.53199,1.10956,0.00997288,0.00997288,0.00997288
12,4862.94,1.85213,1.58908,1.14552,0.2572,0.16662,0.14318,0.07662,1.75033,1.46391,1.08558,0.0099672,0.0099672,0.0099672
13,5259.8,1.83094,1.56594,1.13805,0.22977,0.17707,0.14843,0.07827,1.74334,1.43519,1.08564,0.00996097,0.00996097,0.00996097
14,5655.56,1.81951,1.54336,1.13358,0.23387,0.17958,0.15434,0.08316,1.70862,1.39416,1.07351,0.0099542,0.0099542,0.0099542
15,6047.88,1.79843,1.52366,1.12513,0.2321,0.1861,0.15869,0.08534,1.69918,1.37274,1.07221,0.0099469,0.0099469,0.0099469
16,6441.78,1.77888,1.49433,1.11508,0.24195,0.18523,0.15671,0.08465,1.70452,1.39508,1.07255,0.00993906,0.00993906,0.00993906
17,6831.74,1.7789,1.49864,1.11381,0.2417,0.17928,0.15917,0.08525,1.69393,1.38079,1.07086,0.00993068,0.00993068,0.00993068
18,7227.87,1.75796,1.4756,1.11458,0.2483,0.19039,0.16291,0.08679,1.68588,1.37372,1.06742,0.00992177,0.00992177,0.00992177
19,7622.88,1.76362,1.46667,1.11026,0.24789,0.19083,0.16646,0.09002,1.67468,1.34817,1.06689,0.00991232,0.00991232,0.00991232
20,8020.67,1.75837,1.46163,1.10976,0.25781,0.19292,0.16679,0.08962,1.66142,1.3479,1.06083,0.00990234,0.00990234,0.00990234
21,8410.49,1.74433,1.45822,1.10652,0.25876,0.19211,0.16701,0.08959,1.65373,1.34285,1.05577,0.00989183,0.00989183,0.00989183
22,8804.78,1.7378,1.44767,1.1029,0.27152,0.18895,0.16814,0.0902,1.65389,1.34628,1.05735,0.00988079,0.00988079,0.00988079
23,9195.95,1.71587,1.42665,1.09858,0.26142,0.18933,0.1711,0.09202,1.66182,1.33277,1.06212,0.00986922,0.00986922,0.00986922
24,9591.34,1.72091,1.4269,1.09648,0.28828,0.19607,0.17784,0.09698,1.64673,1.31502,1.05645,0.00985711,0.00985711,0.00985711
25,9984.54,1.72083,1.41737,1.09297,0.27336,0.19787,0.17671,0.09544,1.6296,1.31357,1.05034,0.00984449,0.00984449,0.00984449
26,10375.5,1.70429,1.40922,1.09357,0.26402,0.19938,0.17704,0.09701,1.63246,1.31715,1.05368,0.00983133,0.00983133,0.00983133
27,10767.8,1.70417,1.40805,1.09186,0.26699,0.20348,0.18128,0.09804,1.63522,1.3045,1.05135,0.00981765,0.00981765,0.00981765
28,11162.3,1.70093,1.4001,1.09082,0.28727,0.20082,0.18203,0.09952,1.62087,1.28497,1.04798,0.00980345,0.00980345,0.00980345
29,11556.5,1.69227,1.39209,1.09221,0.28295,0.20671,0.18452,0.10089,1.61688,1.28152,1.04668,0.00978873,0.00978873,0.00978873
30,11957.4,1.69262,1.38784,1.08853,0.28198,0.20564,0.1829,0.09844,1.61459,1.29391,1.04521,0.00977349,0.00977349,0.00977349
31,12349.7,1.6875,1.38893,1.0868,0.30397,0.20851,0.18731,0.10137,1.60936,1.27413,1.04305,0.00975773,0.00975773,0.00975773
32,12740.4,1.68066,1.37646,1.08681,0.29717,0.20564,0.18823,0.101,1.60923,1.2728,1.0409,0.00974145,0.00974145,0.00974145
33,13148,1.67509,1.36849,1.08038,0.28074,0.20613,0.18742,0.10147,1.60841,1.27038,1.04093,0.00972466,0.00972466,0.00972466
34,13542.1,1.6729,1.36209,1.08379,0.29429,0.20685,0.19012,0.10394,1.59783,1.26165,1.04073,0.00970736,0.00970736,0.00970736
35,13926.5,1.67983,1.37394,1.08477,0.29362,0.20505,0.18906,0.10373,1.60003,1.267,1.03999,0.00968955,0.00968955,0.00968955
36,14314.2,1.66872,1.3603,1.08198,0.29869,0.20897,0.19187,0.10472,1.59516,1.25973,1.03945,0.00967122,0.00967122,0.00967122
37,14698.7,1.66918,1.36531,1.08359,0.31115,0.21111,0.19553,0.10642,1.59484,1.25412,1.04038,0.00965239,0.00965239,0.00965239
38,15091.8,1.65854,1.3466,1.07697,0.31088,0.20884,0.1933,0.10536,1.59039,1.25588,1.03548,0.00963306,0.00963306,0.00963306
39,15482.4,1.65234,1.346,1.07487,0.29307,0.2126,0.19325,0.10501,1.59601,1.25654,1.03692,0.00961322,0.00961322,0.00961322
